"Add New Category","Aggiungi Nuova Categoria"
Archive,Archivio
"Archive %s","Archivio %s"
"Recent Posts","Articoli Recenti"
"RSS Feed","Feed RSS"
"Search posts here...","Ricerca articoli qui..."
Tags,Tag
"MageFan Extensions","Estensioni MageFan"
"Blog Information","Informazioni Blog"
"Blog Index Page","Pagina Principale Blog"
"Post View","Vista Articolo"
"Display Related Posts","Mostra Articoli Correlati"
"Number of Posts","Numero di Articoli"
"Display Related Products","Mostra Prodotti Correlati"
"Number of Products","Numbero di Prodotti"
Comments,Commenti
"Number of Comments","Numero di Commenti"
"Facebook Application ID","ID Applicazione Facebook"
"Preview and Next Post","Articolo Precedente e Successivo"
"Display Prev. & Next Post Links","Mostra Link Articoli Prec. & Succ."
"Post List","Lista Articoli"
"Posts Per Page","Articoli per Pagina"
"Use Lazy Loading","Utilizza Lazy Loading"
"Automatically load more posts on page.","Carica automaticamente piu' articoli sulla pagina."
"Auto Triger Padding (px)","Imposta Automaticamente il Padding (px)"
Author,Autore
"Display Author Information","Mostra Informazioni Autore"
"Display Post List By Author","Mostra Lista Articoli per Autore"
Sidebar,"Barra Laterale"
"Search Form Widget","Widget Form Ricerca"
"Categories Widget","Widget Categorie"
"Recent Posts Widget","Widget Articoli Recenti"
"Posts Number","Numero Articoli"
"Archive Widget","Widget Archivi"
"Tag Claud Widget","Tag Cloud Widget"
"Rss Feed","Feed Rss"
"Feed Title","Titolo Feed"
"Feed Description","Descrizione Feed"
"Product Page","Pagina Prodotto"
"Permalink Settings","Impostazini Permalink"
"Blog Route","Route Blog"
"Permalink Type","Tipo Permalink"
"Post Route","Route Articolo"
"Category Route","Route Categoria"
"Archive Route","Route Archivio"
"Tag Route","Route Tag"
"Author Route","Route Autore"
"Search Route","Route Ricerca"
Social,Social
"AddThis Enabled","AddThis Abilitato"
"AddThis ID","ID AddThis"
"AddThis Language","Lingua AddThis"
"Category Top Navigation","Navigazione Categoria Alta"
"Display Blog Link","Mostra Link del Blog"
"Blog Category","Categoria Articolo"
"Leave blank to display posts from all categories.","Lasciare vuoto per mostrare gli articoli di tutte le categorie."
"Custom Template","Custom Template"
Published,Pubblicato
"Category Information","Informazioni Categoria"
"Enable Category","Abilita Categoria"
"Category Title","Titolo Categoria"
"Category in Websites","Categorie nei Siti"
"-- Please Select --","-- Perpiacere Seleziona --"
"Tag Title","Titolo Tag"
"Post Information","Informazioni Articolo"
"Enable Post","Abilita Articolo"
"Post Title","Titolo Articolo"
"New Category","Nuova Categoria"
"Additional Options","Opzioni Aggiuntive"
"Featured Image","Immagine Principale"
"Publish Date","Data di Pubblicazione"
"New Tag","Nuovo Tag"
"Open Graph Metadata","Metadata Open Graph"
"OG Title","Titolo OG"
"Leave blank to use Meta Title by default.","Lasciare vuoto per utilizzare il Titolo Meta automaticamente."
"OG Description","Descrizione OG"
"Leave blank to use Meta Description by default.","Lasciare vuoto per usare la Descrizione Meta automaticamente."
"OG Image","Immagine OG"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Lasciare vuoto per usare l'Immagine Principale automaticamente. Tipi di immagini consentiti: jpg, jpeg, gif, png."
"OG Type","Tipo OG"
"Leave blank to use ""article"" type by default.","Lasciare vuoto per usare il tipo ""articolo"" automaticamente."
"Post in Websites","Articolo nei Siti"
"Related Posts and Products","Articoli e Prodotti Correlati"
"Related posts are shown to customers in addition to the item the customer is looking at.","Gli articoli correlati sono mostrati al cliente in aggiunta al post che l'utente sta guardando."
"Add Related Post","Aggiungi Articolo Correlato"
"Add Related Posts","Aggiungi Articoli Correlati"
"Add Selected Posts","Aggiungi Articoli Selezionati"
"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settebre"
"October","Ottobre"
"November","Novembre"
"December","Dicembre"
"Jan","Gen"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mag"
"Jun","Giu"
"Jul","Lug"
"Aug","Ago"
"Sep","Set"
"Oct","Ott"
"Nov","Nov"
"Dec","Dic"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Posts","Import Posts"
"Import from aheadWorks Blog Extension","Import from aheadWorks Blog Extension"
"Import from Joomla","Import from Joomla"
"Import from Blogger.com","Import from Blogger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
"Hot Searches: ","Ricerche Top: "
"Search entire store here...","Cerca un prodotto nel sito..."
"Products: ","Prodotti: "
"Items","Oggetti"
"No results found.","Nessun risultato trovato."
"Categories: ","Categorie:"
"Availabile","Disponibile"
"Out of stock","Non Disponibile"
"Add to Cart","Aggiungi al carrello"
"Subscribe","Iscriviti"
"Email Address","Indirizzo email"
"Purchase","Acquista"
"or","o"
"View and Edit Cart","Visualizza e modifica carrello"
"My Cart","Carrello"
"Subtotal","Subtotale"
"Login / Sign-up","Accedi / Registrati"
"Checkout using your account","Acquista utilizzando il tuo account"
"Forgot Your Password?","Hai dimenticato la password?"
"Checkout as a new customer","Acquista come nuovo cliente"
"Creating an account has many benefits:","La creazione di un account ha molti vantaggi:"
"See order and shipping status","Visualizza lo stato dell'ordine e della spedizione"
"Track order history","Tieni traccia della cronologia degli ordini"
"Check out faster","Check out più veloce"
"Create an Account","Crea un Account"
"Sign In","Accedi"
"Personal Information","Informazione personale"
"First Name","Nome"
"Last Name","Cognome"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Sign-in Information","Informazioni di accesso"
"Allow remote shopping assistance","Consenti l'assistenza agli acquisti da remoto"
"This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.","Ciò consente ai commercianti di "vedere ciò che vedi" e intraprendere azioni per tuo conto al fine di fornire una migliore assistenza."
"Minimum of different classes of characters in password is %1.","Il minimo di diverse classi di caratteri nella password è %1."
"Confirm New Password","Conferma la nuova password"
" Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Classi di caratteri: minuscole, maiuscole, cifre, caratteri speciali."
"Update item","Aggiorna prodotto"
"Apply Discount","Applica sconto"
"Cancel Coupon","Annulla Coupon"
"Enter discount code","Inserisci codice sconto"
"Update Shopping Cart","Aggiorna Carrello"
"Item","Prodotto"
"Price","Prezzo"
"Subtotal","Subtotale"
"Summary","Riepilogo"
"Estimate Tax","Imposta stimata"
"Estimate Shipping and Tax","Costi stimati di trasporto e tasse"
"Proceed to Checkout","Concludi Ordine"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email qui sotto per ricevere un link per reimpostare la password."
"Reset My Password","Reimposta la mia password"
"Go back","Torna indietro"
"Login","Accedi"
"If you have an account, sign in with your email address.","Se hai un account, accedi con il tuo indirizzo email."
"Hide Password","Nascondi password"
"Show Password","Mostra Password"
"New Customers","Nuovi clienti"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creare un account ha molti vantaggi: check out più veloce, mantenere più di un indirizzo, tenere traccia degli ordini e altro ancora."
"Enter your email address","Inserisci un indirizzo email"
"My Account","Il mio Account"
"My Wish List","La mia Lista dei Desideri"
"My Orders","I miei ordini"
"Address Book","Contatti"
"Sign Out","Logout"
"Welcome","Benvenuto"
"Delivery in 2/3 working days","Consegna in 2/3 giorni lavorativi"
"Delivery in 2/5 working days","Consegna in 2/5 giorni lavorativi"
"sign-in","Accedi"
"sign-up","Registrati"
"Customer Care","Assistenza Clienti"
"Cart","Carrello"
"Categories","Categorie"
"Pay in 3","Paga in 3 rate"
"Article Code: ","Codice Articolo: "
"Time offer expires on ","Offerta a tempo scade il giorno "
"Prices incl. VAT","Prezzi IVA inclusa"
"We ship in 2-3 working days Italy ","Spediamo in 2-3 giorni lavorativi Italia "
"You can pay cash on delivery ","Puoi pagare alla consegna in contanti "
"for only","a soli"
"Download Product Manual","Scarica Manuale del Prodotto"
"Other Products of the brand: ","Prodotti correlati: "
"Sign up for the newsletter to receive ","Iscrivi alla newsletter per ricevere"
"10% discount ","10% di sconto "
"on your next purchase.","sul tuo prossimo acquisto."
"Sign up for the CarrelloDigitale newsletter to keep up to date with all the latest news: exclusive content, unmissable offers and a 10% welcome discount code for your first order every week.","Iscriviti alla newsletter di CarrelloDigitale per restare aggiornato su tutte le novità: per te ogni settimana contenuti esclusivi, offerte imperdibili e un codice sconto di benvenuto del 10% da utilizzare sul primo ordine."
"As low as","A partire da"
"users are now looking at this product","utenti stanno guardando ora questo prodotto"
"user is now looking at this product","utente sta guardando ora questo prodotto"
"We can't find products matching the selection.","Non riusciamo a trovare prodotti corrispondenti alla tua ricerca."
"Don't you have an account?","Non hai un account?"
"Sign Up","Registrati"
"Welcome to login","Benvenuti al login"
"Account Information","Informazioni Account"
"Contact Information","Informazioni Contatto"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"Edit Address","Modifica Indirizzo"
"You aren't subscribed to our newsletter.","Non sei iscritto alla nostra newsletter."
"Edit","Modifica"
"Change Password","Modifica Password"
"Manage Addresses","Gestisci indirizzi"
"Change Email","Modifica Email"
"Please select a region, state or province.","Seleziona una regione, stato o provincia."
"Zip/Postal Code","Codice Postale"
"Country","Nazione"
"Street Address","Indirizzo"
"City","Città"
"Address","Indirizzo"
"Phone Number","Telefono"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il numero minimo di classi di caratteri nella password è %1. Classi di caratteri: Minuscole, Maiuscole, Cifre, Caratteri speciali"
"Confirm Password","Conferma Password"
"Your password confirmation must match your password.","La conferma della password deve corrispondere alla tua password."
"Thank you for registering with CarrelloDigitale.","Grazie per esserti registrato su CarrelloDigitale."
"Customer Address","Indirizzo del cliente"
"Save Address","Salva Indirizzo"
"Save","Salva"
"You have signed out and will be redirected to our homepage in 5 seconds.","Ti sei disconnesso e verrai reindirizzato alla nostra home page tra 5 secondi."
"Thank you for your visit, we're looking forward to see you again soon.","Grazie per la vostra visita, non vediamo l'ora di rivedervi presto."
"You have signed out","Ti sei disconnesso"
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"Order Comment","Note"
"Sign Up for Our Newsletter","Iscriviti alla nostra newsletter"
"Apply Discount Code","Applica un codice sconto"
"Enter discount code","Inserisci codice sconto"
"Name","Nome"
"Items in Cart","Articoli nel carrello"
"Order Total","Totale ordine"
"Flat Rate","Tassa fissa"
"For delivery questions","Per domande sulla consegna"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"You removed the item.","Hai rimosso l'oggetto."
"Back","Indietro"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Hai aggiunto %1 al tuo <a href=""%2"">carrello</a>."
"Simple Product","Prodotto Semplice"
"Thank you for your subscription.","Grazie per esserti iscritto"
"Please enter a valid email address.","Perfavore inserisci un'email valida"
"There are no source items with the in stock status","Non sono presenti articoli di origine con lo stato in stock"
"This product is out of stock.","Questo prodotto è esaurito."
"You can buy this product only in quantities of %1 at a time.","Puoi acquistare questo prodotto solo in quantità pari a %1 alla volta."
"The most you may purchase is %1.","Il massimo che puoi acquistare è %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantità richiesta supera la quantità massima consentita nel carrello"
"The fewest you may purchase is %1","Il minimo che puoi acquistare è %1"
"The requested qty is not available","La quantità richiesta non è disponibile"
"Product that you are trying to add is not available.","Il prodotto che stai tentando di aggiungere non è disponibile."
"We found an invalid request for adding product to quote.","Abbiamo trovato una richiesta non valida per l'aggiunta del prodotto al preventivo."
"The product\'s required option(s) weren\'t entered. Make sure the options are entered and try again.","Le opzioni richieste del prodotto non sono state inserite. Assicurati che le opzioni siano inserite e riprova."
"Customer ID in quote is invalid.","L'ID cliente nel preventivo non è valido."
"No Simple Product item with qty 1 to delete exists","Non esiste alcun articolo Prodotto semplice con quantità 1 da eliminare"
"Multi-shipping mode is disabled after quote item removal","La modalità di spedizione multipla viene disabilitata dopo la rimozione dell'articolo con preventivo"
"%1 Items","%1 Oggetti"
"%1 Item","%1 Oggetto"
"Show","Mostra"
"Position","Posizione"

"Attention","Attenzione"
"No payment method selected","Nessun metodo di pagamento selezionato"
"Customizable Options","Opzioni Personalizzabili"
"pencil","matita"
"trash","cestino"
"Choose an Option...","Scegli un'opzione..."
"Description","Descrizione"
"Options","Opzioni"
"Go to Checkout","Vai alla Cassa"

"Hot Searches","Ricerche frequenti"
"No results found.","Nessun prodotto trovato."
"View all %1 results →","Visualizza tutti i risultati di %1 →"
"Sorry, nothing has been found for '%1'.","Spiacente, non è stato trovato nulla per '%1'."
"Active filtering","Filtri attivi"
"Your %store_name order confirmation #%increment_id","Conferma ordine #%increment_id %store_name"

"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o chiamaci a <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Il nostro orario è <span class=""no-link"">%store_hours</span>."
"Order details:","Dettagli ordine:"
"Order Date:","Data ordine:"
"Items Ordered","Articoli Ordinati"
"Your order number is:","Il tuo numero ordine è:"
"Your order # is:","Il tuo ordine # è:"
"We'll email you an order confirmation with details and tracking info.","Vi invieremo un'e-mail di conferma dell'ordine con i dettagli e le informazioni sulla tracciabilità."
"Continue Shopping","Continua lo Shopping"
"Success Page Custom Block","Pagina di successo Blocco personalizzato"
"Specify the ID of custom CMS block to be displayed on the checkout success page","Specificare l'ID del blocco CMS personalizzato da visualizzare nella pagina di successo del pagamento."
"Order Success Page","Pagina di successo dell'ordine"
"Custom Order Success Page","Pagina di successo dell'ordine personalizzato"
"Disable it to show the default order success page instead.<br>
                        Note: if frozen, the control over the order success page is moved to the Thank You Page module.","Disabilitarla per mostrare invece la pagina di successo dell'ordine predefinita.<br>
                        Nota: se congelata, il controllo della pagina di successo dell'ordine viene spostato nel modulo Pagina di ringraziamento."
                        "Additional Information","Informazioni aggiuntive"


"Please update or cancel Billing Address Form.","Aggiorna o annulla il modulo dell'indirizzo di fatturazione."
"Please update or cancel Shipping Address Form.","Aggiorna o annulla il modulo dell'indirizzo di fatturazione."
"Please enter your details below to complete your purchase","Inserisci i tuoi dati qui sotto per completare l'acquisto"
"Please select a region, state or province.","Seleziona la regione, stato o provincia.",module,Magento_Company
Check / Money Order,Vaglia,module,Magento_OfflinePayments
"Checkout","Cassa"
"Shipping","Spedizione"
"Cart Subtotal","Totale carrello"
"Flat Rate - Fixed","Tariffa fissa - Fisso"
"Tax","Tassa"
"Shipping Address","Indirizzo di spedizione"
"Shipping Method","Metodo di spedizione"
"Order Summary","Riepilogo dell'ordine"
"Payment Method","Metodo di pagamento"
"You can create an account after checkout.","È possibile creare un account dopo il checkout.",module,Magento_Checkout
"Street Address","Indirizzo"
"Company","Azienda"
"Country","Paese"
"State/Province","Stato/Provincia"
"Province","Provincia"
"Please select a region, state or province."Selezionare una regione, uno stato o una provincia."
"City","Città"
"Zip/Postal Code","Codice postale"
"Phone Number","Numero di telefono"
"Check / Money order","Assegno / Vaglia postale"
"My billing and shipping address are the same","L'indirizzo di fatturazione e quello di spedizione sono gli stessi"
"Order Total","Totale Ordine"
"Apply Discount","Applica codice sconto"
"Place Order","Effettua l'ordine"
"Email Address","Indirizzo Email",module,Magento_Checkout
"Sign In","Accedi"
"Forgot Your Password?","Hai dimenticato la password?"
"Flat Rate","Tasse"
"Enter discount code","Inserisci codice sconto"

"Item in Cart","Prodotto nel carrello"
"Items in Cart","Prodotti nel carrello"
"per 1 Item","per prodotto"
"Apply Discount Code","Applica un codice sconto"
"This is a required field.","Questo è un campo obbligatorio."
"Update","Aggiorna"
"Cancel","Cancella"

"Attention","Attenzione"
"No payment method selected","Nessun metodo di pagamento selezionato"
"Billing Address","Indirizzo di fatturazione"
"Please enter a valid email address (Ex: johndoe@domain.com).","Perfavore inserisci un indirizzo email valido (Ex: johndoe@domain.com)."
"Estimated Total","Totale"
"For delivery questions.","Per domande sulla consegna."
"Preorder","Pre Ordina"
"Pre-Order Product","Prodotto in Pre Ordine"
"Complete Payment","Pagamento Completo"
"Available On: ","Disponibile da: "
"Preorder Information","Informazioni di Pre Ordine"
